A_LOAD,A_LOAD_STATUS,A_OCCUPANCY,A_DISTANCE,A_WAITING_TIME,B_LOAD,B_LOAD_STATUS,B_OCCUPANCY,B_DISTANCE,B_WAITING_TIME,C_LOAD,C_LOAD_STATUS,C_OCCUPANCY,C_DISTANCE,C_WAITING_TIME,GRID_HEADROOM,GRID_STATUS,BATTERY,RECOMMENDED
33,GREEN,1,2.0,11.2,33,GREEN,2,8.5,18.8,55,GREEN,1,8.2,14.9,51.6,GREEN,18,A
54,GREEN,0,2.2,6.2,59,GREEN,2,3.8,20.6,38,GREEN,3,1.2,28.8,39.6,GREEN,18,A
31,GREEN,1,4.1,10.9,40,GREEN,2,3.5,19.3,92,RED,0,8.9,7.8,34.8,GREEN,21,C
30,GREEN,2,4.7,18.7,76,YELLOW,3,3.1,32.6,34,GREEN,2,4.6,18.5,44.0,GREEN,77,A
87,RED,2,0.9,24.3,27,GREEN,0,2.4,4.5,37,GREEN,2,3.2,18.2,39.6,GREEN,78,B
75,YELLOW,1,1.7,15.6,49,GREEN,2,1.2,22.3,25,GREEN,3,0.7,28.2,40.4,GREEN,55,B
93,RED,3,5.9,34.1,73,YELLOW,2,1.6,21.4,61,YELLOW,1,8.1,14.6,9.2,RED,61,C
31,GREEN,3,8.5,26.1,95,RED,3,5.5,33.1,59,GREEN,2,2.6,23.0,26.0,YELLOW,24,C
85,YELLOW,0,5.5,7.3,64,YELLOW,2,7.4,23.7,38,GREEN,1,1.5,10.8,25.2,YELLOW,37,A
39,GREEN,0,2.2,5.0,83,YELLOW,3,7.7,33.3,77,YELLOW,2,8.7,24.2,20.4,YELLOW,34,A
76,YELLOW,0,5.0,8.1,55,GREEN,0,3.8,3.8,79,YELLOW,3,0.9,31.4,16.0,YELLOW,51,B
29,GREEN,0,6.3,2.9,79,YELLOW,0,4.8,9.1,44,GREEN,2,6.2,20.4,39.2,GREEN,22,A
77,YELLOW,0,8.2,9.0,30,GREEN,1,0.9,11.8,76,YELLOW,1,4.0,17.3,26.8,YELLOW,64,A
72,YELLOW,2,6.9,21.4,62,YELLOW,0,3.6,6.4,69,YELLOW,2,2.9,24.3,18.8,YELLOW,34,B
62,YELLOW,0,6.0,4.8,64,YELLOW,2,9.7,23.2,70,YELLOW,1,6.2,16.8,21.6,YELLOW,54,A
91,RED,3,6.6,32.4,36,GREEN,0,6.6,3.3,66,YELLOW,0,3.9,5.3,22.8,YELLOW,42,B
63,YELLOW,3,2.3,32.3,39,GREEN,0,3.3,5.1,84,YELLOW,0,6.8,9.9,25.6,YELLOW,31,B
68,YELLOW,1,2.0,16.1,41,GREEN,3,0.9,27.6,50,GREEN,3,6.3,30.0,36.4,GREEN,72,A
49,GREEN,1,3.4,14.1,80,YELLOW,1,4.0,17.8,76,YELLOW,3,7.8,32.7,18.0,YELLOW,79,A
87,RED,3,9.7,34.0,37,GREEN,2,1.0,19.6,67,YELLOW,0,7.3,6.8,23.6,YELLOW,30,C
56,GREEN,0,7.7,4.7,85,YELLOW,1,8.4,14.9,48,GREEN,3,8.9,30.5,24.4,YELLOW,68,A
26,GREEN,3,5.3,25.5,30,GREEN,2,2.6,18.3,32,GREEN,2,8.0,17.8,64.8,GREEN,51,B
80,YELLOW,1,7.7,15.9,20,GREEN,0,0.7,0.9,39,GREEN,3,1.6,27.1,44.4,GREEN,53,B
35,GREEN,0,2.8,4.1,78,YELLOW,0,1.6,9.4,88,RED,0,6.5,9.1,19.6,YELLOW,33,A
57,GREEN,3,0.5,29.1,93,RED,3,2.3,34.0,87,RED,2,1.1,24.8,5.2,RED,79,C
84,YELLOW,0,4.2,8.3,69,YELLOW,2,2.9,21.0,28,GREEN,2,2.8,19.4,27.6,YELLOW,28,A
94,RED,2,1.8,24.8,63,YELLOW,1,8.4,15.0,81,YELLOW,1,8.2,14.4,4.8,RED,73,AVOID
24,GREEN,2,2.4,19.6,25,GREEN,2,9.4,18.6,89,RED,3,2.9,33.9,44.8,GREEN,39,A
56,GREEN,2,8.7,19.8,62,YELLOW,2,1.7,21.7,71,YELLOW,3,9.0,30.6,24.4,YELLOW,38,A
83,YELLOW,3,4.0,33.5,54,GREEN,0,7.4,3.7,43,GREEN,2,3.6,18.6,28.0,YELLOW,52,B
59,GREEN,3,6.2,29.6,76,YELLOW,2,4.7,24.5,65,YELLOW,3,3.1,32.4,20.0,YELLOW,22,B
29,GREEN,3,4.0,28.1,40,GREEN,0,1.9,4.4,76,YELLOW,0,1.7,6.5,42.0,GREEN,61,B
66,YELLOW,3,9.5,28.7,39,GREEN,3,9.5,27.4,29,GREEN,1,5.5,10.5,46.4,GREEN,50,C
51,GREEN,0,0.7,3.8,86,RED,3,9.2,31.1,53,GREEN,3,2.5,29.7,24.0,YELLOW,77,A
45,GREEN,0,1.8,2.8,42,GREEN,3,10.0,29.4,60,GREEN,2,7.2,22.2,41.2,GREEN,52,A
58,GREEN,1,7.3,15.5,42,GREEN,2,5.3,18.7,45,GREEN,1,2.7,12.5,42.0,GREEN,61,C
90,RED,2,4.9,26.9,36,GREEN,0,1.1,3.2,81,YELLOW,3,7.8,33.4,17.2,YELLOW,24,B
36,GREEN,2,6.6,19.4,86,RED,2,1.7,25.9,90,RED,1,7.8,15.5,15.2,YELLOW,79,A
27,GREEN,0,5.4,1.9,40,GREEN,2,9.4,18.9,86,RED,2,8.5,23.6,38.8,GREEN,50,A
36,GREEN,2,6.3,18.0,41,GREEN,1,2.1,12.6,63,YELLOW,0,8.3,4.4,44.0,GREEN,20,C
93,RED,2,6.7,26.4,73,YELLOW,0,5.2,7.8,57,GREEN,2,5.1,22.9,10.8,RED,66,B
58,GREEN,3,1.2,28.0,76,YELLOW,3,5.1,30.4,38,GREEN,2,8.7,19.1,31.2,GREEN,59,C
71,YELLOW,1,7.7,15.2,33,GREEN,2,2.8,17.8,77,YELLOW,1,1.8,13.9,27.6,YELLOW,64,B
73,YELLOW,1,9.6,16.9,61,YELLOW,2,2.3,20.7,85,YELLOW,3,5.2,31.7,12.4,RED,17,B
31,GREEN,3,5.3,29.0,47,GREEN,2,1.0,19.8,80,YELLOW,2,5.6,25.4,36.8,GREEN,70,B
37,GREEN,2,7.4,20.8,66,YELLOW,0,4.3,6.9,44,GREEN,2,5.8,18.7,41.2,GREEN,79,B
77,YELLOW,2,8.3,24.2,35,GREEN,1,9.8,11.1,63,YELLOW,2,7.7,21.1,30.0,YELLOW,80,B
71,YELLOW,0,0.9,5.6,62,YELLOW,3,5.4,28.8,85,YELLOW,1,3.6,17.0,12.8,RED,35,A
70,YELLOW,2,6.1,23.0,85,YELLOW,3,7.2,31.7,22,GREEN,2,3.6,16.6,29.2,YELLOW,68,C
94,RED,2,8.1,26.3,23,GREEN,3,3.0,26.9,94,RED,1,7.4,17.7,15.6,YELLOW,36,C
87,RED,3,1.9,33.4,24,GREEN,0,2.3,2.2,73,YELLOW,1,4.4,14.1,26.4,YELLOW,79,B
80,YELLOW,0,7.2,8.1,91,RED,2,10.0,25.0,68,YELLOW,2,9.6,22.6,4.4,RED,58,AVOID
89,RED,2,6.9,26.4,53,GREEN,3,2.3,28.3,91,RED,2,2.6,27.0,6.8,RED,53,A
56,GREEN,1,7.1,13.6,81,YELLOW,2,5.8,25.8,55,GREEN,2,1.7,22.2,23.2,YELLOW,63,A
70,YELLOW,2,9.6,24.2,57,GREEN,0,3.2,6.6,64,YELLOW,3,6.7,31.4,23.6,YELLOW,42,B
45,GREEN,2,9.4,21.3,37,GREEN,0,6.3,4.0,51,GREEN,0,6.9,5.2,46.8,GREEN,44,B
26,GREEN,0,4.4,3.5,32,GREEN,1,0.5,11.4,40,GREEN,3,6.7,29.5,60.8,GREEN,75,A
81,YELLOW,1,7.7,15.2,56,GREEN,0,9.1,4.0,93,RED,1,5.6,18.2,8.0,RED,19,B
42,GREEN,3,8.9,26.9,24,GREEN,3,8.0,25.1,57,GREEN,0,0.6,6.0,50.8,GREEN,28,C
62,YELLOW,2,4.8,22.8,87,RED,3,8.9,31.2,84,YELLOW,3,3.1,33.6,6.8,RED,57,A
40,GREEN,3,6.7,28.9,21,GREEN,2,8.0,18.4,44,GREEN,1,6.3,13.0,58.0,GREEN,66,B
74,YELLOW,2,1.3,24.1,43,GREEN,1,5.0,14.0,20,GREEN,2,4.1,17.8,45.2,GREEN,49,C
62,YELLOW,2,6.0,22.5,53,GREEN,2,7.1,19.5,35,GREEN,3,3.4,27.1,40.0,GREEN,79,B
59,GREEN,0,6.6,7.7,67,YELLOW,1,2.6,13.2,39,GREEN,3,7.6,28.3,34.0,GREEN,68,A
90,RED,3,7.7,34.2,47,GREEN,1,7.0,13.1,30,GREEN,3,5.5,26.4,33.2,GREEN,29,B
27,GREEN,1,5.9,9.3,61,YELLOW,3,1.6,28.9,94,RED,3,1.4,33.4,27.2,YELLOW,22,A
78,YELLOW,1,5.4,15.6,27,GREEN,3,6.9,25.9,22,GREEN,3,2.9,24.2,49.2,GREEN,42,A
94,RED,0,0.9,8.8,28,GREEN,0,9.4,1.1,80,YELLOW,0,3.2,6.7,19.2,YELLOW,32,B
73,YELLOW,2,9.9,22.8,68,YELLOW,3,1.3,32.7,89,RED,1,6.7,16.3,8.0,RED,37,A
88,RED,3,5.5,33.7,48,GREEN,0,7.7,6.7,79,YELLOW,3,5.6,33.2,14.0,RED,46,B
78,YELLOW,2,2.0,22.6,34,GREEN,0,8.2,3.1,22,GREEN,1,2.5,8.6,46.4,GREEN,19,B
77,YELLOW,0,2.8,5.9,76,YELLOW,1,5.6,16.6,27,GREEN,1,5.3,9.9,28.0,YELLOW,55,A
86,RED,2,2.8,26.8,79,YELLOW,1,4.4,15.7,84,YELLOW,1,6.4,16.8,0.0,RED,78,AVOID
26,GREEN,2,9.4,19.3,87,RED,2,7.1,24.3,58,GREEN,3,2.2,30.0,31.6,GREEN,45,A
48,GREEN,2,8.6,19.4,79,YELLOW,0,5.8,9.8,91,RED,1,4.2,16.1,12.8,RED,57,B
30,GREEN,3,8.5,25.4,44,GREEN,0,3.1,5.1,25,GREEN,0,2.3,3.5,60.4,GREEN,42,C
81,YELLOW,1,8.8,15.4,21,GREEN,1,9.4,11.9,35,GREEN,3,9.2,28.3,45.2,GREEN,41,B
70,YELLOW,1,5.7,16.1,68,YELLOW,3,5.6,30.2,53,GREEN,2,5.4,21.3,23.6,YELLOW,27,C
80,YELLOW,2,9.2,23.5,72,YELLOW,0,5.8,6.1,38,GREEN,0,3.0,5.5,24.0,YELLOW,68,C
57,GREEN,1,2.4,12.6,92,RED,1,5.2,17.8,63,YELLOW,2,7.8,22.3,15.2,YELLOW,77,A
78,YELLOW,1,7.5,15.2,37,GREEN,3,2.2,29.3,27,GREEN,0,8.5,1.0,43.2,GREEN,21,C
20,GREEN,3,1.8,26.5,28,GREEN,1,0.6,10.8,67,YELLOW,0,6.4,7.4,54.0,GREEN,76,C
82,YELLOW,0,0.6,8.4,21,GREEN,0,5.5,1.2,56,GREEN,0,5.3,6.4,36.4,GREEN,70,B
42,GREEN,0,9.2,4.3,50,GREEN,1,6.4,12.0,65,YELLOW,2,8.1,20.8,37.2,GREEN,66,A
78,YELLOW,1,9.9,14.7,30,GREEN,0,1.4,2.5,90,RED,3,1.0,31.0,20.8,YELLOW,36,B
30,GREEN,3,8.5,27.6,62,YELLOW,0,9.0,7.9,49,GREEN,1,9.1,13.7,43.6,GREEN,75,B
54,GREEN,0,9.3,6.1,55,GREEN,0,2.2,6.9,22,GREEN,1,6.1,11.2,47.6,GREEN,65,B
29,GREEN,2,2.0,17.9,69,YELLOW,2,4.1,23.9,30,GREEN,2,1.0,18.7,48.8,GREEN,24,A
63,YELLOW,3,9.7,29.6,54,GREEN,3,5.2,28.8,68,YELLOW,3,2.3,31.1,26.0,YELLOW,63,AVOID
30,GREEN,2,8.1,19.9,30,GREEN,2,2.0,19.8,39,GREEN,3,3.5,26.3,60.4,GREEN,15,B
59,GREEN,3,3.9,29.0,36,GREEN,0,2.3,3.4,91,RED,3,1.5,31.5,25.6,YELLOW,26,B
61,YELLOW,3,0.6,29.8,30,GREEN,1,5.9,9.7,68,YELLOW,1,1.8,14.0,36.4,GREEN,78,B
38,GREEN,0,2.1,2.9,58,GREEN,3,7.9,29.2,51,GREEN,3,6.1,27.9,41.2,GREEN,28,A
37,GREEN,2,0.6,19.3,68,YELLOW,2,4.7,22.5,37,GREEN,2,3.5,21.5,43.2,GREEN,40,A
81,YELLOW,2,2.2,23.7,60,GREEN,2,7.5,22.5,93,RED,1,3.6,16.4,6.4,RED,65,B
66,YELLOW,0,9.4,5.4,89,RED,1,7.0,17.1,79,YELLOW,1,4.7,15.1,6.4,RED,23,A
72,YELLOW,3,1.8,30.4,52,GREEN,1,7.3,14.4,29,GREEN,3,9.9,26.8,38.8,GREEN,66,B
88,RED,3,5.7,34.0,66,YELLOW,0,1.5,5.6,65,YELLOW,1,6.6,12.7,12.4,RED,66,B
62,YELLOW,3,1.5,28.6,48,GREEN,1,4.7,12.4,95,RED,1,3.8,15.6,18.0,YELLOW,28,B
57,GREEN,3,9.2,28.0,38,GREEN,2,3.5,19.6,46,GREEN,3,3.8,27.0,43.6,GREEN,72,B
60,GREEN,0,3.4,7.2,34,GREEN,0,8.6,4.0,41,GREEN,1,5.4,12.3,46.0,GREEN,57,B
91,RED,3,9.6,32.0,71,YELLOW,1,2.3,15.7,70,YELLOW,0,7.5,8.5,7.2,RED,72,C
95,RED,3,4.2,34.3,46,GREEN,2,7.6,21.8,28,GREEN,0,8.1,2.9,32.4,GREEN,61,C
61,YELLOW,1,4.8,13.1,82,YELLOW,2,6.2,24.6,95,RED,0,3.8,10.9,4.8,RED,37,AVOID
58,GREEN,0,6.9,5.1,50,GREEN,2,1.6,20.5,38,GREEN,3,4.5,26.4,41.6,GREEN,64,A
74,YELLOW,1,5.1,15.5,42,GREEN,1,5.2,10.8,60,GREEN,3,6.4,31.5,29.6,YELLOW,16,B
82,YELLOW,1,2.4,15.7,91,RED,3,4.4,33.1,76,YELLOW,3,2.1,31.9,0.4,RED,43,AVOID
57,GREEN,0,3.1,5.9,41,GREEN,3,5.9,29.2,83,YELLOW,0,5.9,7.4,27.6,YELLOW,61,A
89,RED,0,7.7,8.7,47,GREEN,3,1.5,30.0,51,GREEN,2,8.8,19.2,25.2,YELLOW,48,A
64,YELLOW,0,4.7,8.4,50,GREEN,1,8.2,13.4,64,YELLOW,3,2.1,29.0,28.8,YELLOW,41,A
46,GREEN,0,5.9,4.7,88,RED,1,3.6,17.6,57,GREEN,2,9.5,21.8,23.6,YELLOW,27,A
37,GREEN,3,9.2,29.7,36,GREEN,1,2.9,12.4,51,GREEN,3,5.1,29.4,50.4,GREEN,49,B
73,YELLOW,3,4.8,31.8,31,GREEN,3,5.4,26.2,67,YELLOW,3,9.5,30.0,31.6,GREEN,15,AVOID
31,GREEN,3,6.5,27.9,28,GREEN,3,2.6,26.5,47,GREEN,3,3.1,30.0,57.6,GREEN,58,AVOID
90,RED,1,5.9,16.9,63,YELLOW,0,0.9,6.8,78,YELLOW,0,1.7,9.2,7.6,RED,71,B
78,YELLOW,0,9.9,7.5,36,GREEN,2,2.0,21.3,55,GREEN,0,6.7,4.5,32.4,GREEN,62,C
41,GREEN,0,4.3,3.3,49,GREEN,3,6.7,29.7,20,GREEN,1,5.0,8.5,56.0,GREEN,43,A
86,RED,3,0.6,33.4,35,GREEN,3,7.1,27.4,49,GREEN,3,1.3,30.1,32.0,GREEN,28,AVOID
60,GREEN,2,8.9,20.5,37,GREEN,1,1.1,12.0,41,GREEN,3,3.8,27.0,44.8,GREEN,34,B
72,YELLOW,3,8.7,29.5,32,GREEN,1,7.6,11.6,69,YELLOW,2,9.7,22.2,30.8,GREEN,32,B
51,GREEN,2,6.6,20.1,56,GREEN,0,8.6,6.2,58,GREEN,1,5.4,13.8,34.0,GREEN,65,B
57,GREEN,0,7.9,6.9,50,GREEN,3,4.2,28.0,29,GREEN,0,9.9,4.6,45.6,GREEN,31,C
69,YELLOW,3,4.0,31.6,80,YELLOW,0,0.7,6.3,53,GREEN,1,0.9,11.5,19.2,YELLOW,65,B
84,YELLOW,2,6.5,24.4,73,YELLOW,3,7.2,29.6,88,RED,1,3.1,16.0,2.0,RED,80,AVOID
